path,extension,size_bytes,layer,kind,status,symbols,business_rules,evidence,notes
.cspell.json,.json,1342,source,configuration,analyzed,version;language;useGitignore;ignorePaths;words,,.cspell.json,"Analyzed for architectural responsibility, dependencies, inputs, outputs, and effects."
.github/ISSUE_TEMPLATE/bug.yml,.yml,2874,configuration,configuration,analyzed,name;description;title;labels;body,,.github/ISSUE_TEMPLATE/bug.yml,"Analyzed for architectural responsibility, dependencies, inputs, outputs, and effects."
.github/ISSUE_TEMPLATE/compatibility.yml,.yml,3736,configuration,configuration,analyzed,name;description;title;labels;body,,.github/ISSUE_TEMPLATE/compatibility.yml,"Analyzed for architectural responsibility, dependencies, inputs, outputs, and effects."
.github/ISSUE_TEMPLATE/config.yml,.yml,432,configuration,configuration,analyzed,blank_issues_enabled;contact_links,,.github/ISSUE_TEMPLATE/config.yml,"Analyzed for architectural responsibility, dependencies, inputs, outputs, and effects."
.github/ISSUE_TEMPLATE/documentation.yml,.yml,2394,configuration,configuration,analyzed,name;description;title;labels;body,,.github/ISSUE_TEMPLATE/documentation.yml,"Analyzed for architectural responsibility, dependencies, inputs, outputs, and effects."
.github/ISSUE_TEMPLATE/feature.yml,.yml,2844,configuration,configuration,analyzed,name;description;title;labels;body,,.github/ISSUE_TEMPLATE/feature.yml,"Analyzed for architectural responsibility, dependencies, inputs, outputs, and effects."
.github/ISSUE_TEMPLATE/security-safe.yml,.yml,2532,configuration,configuration,analyzed,name;description;title;labels;body,,.github/ISSUE_TEMPLATE/security-safe.yml,"Analyzed for architectural responsibility, dependencies, inputs, outputs, and effects."
.github/dependabot.yml,.yml,2735,configuration,configuration,analyzed,version;updates,,.github/dependabot.yml,"Analyzed for architectural responsibility, dependencies, inputs, outputs, and effects."
.github/dependency-review-config.yml,.yml,1376,configuration,configuration,analyzed,fail-on-severity;fail-on-scopes;allow-licenses;license-check;vulnerability-check;comment-summary-in-pr;warn-only,,.github/dependency-review-config.yml,"Analyzed for architectural responsibility, dependencies, inputs, outputs, and effects."
.github/pull_request_template.md,.md,2939,documentation,documentation,analyzed,"Pull request;Linked issue and work ID;Outcome and design;Compatibility and public contracts;State, migration, security, and rollback;Deterministic test evidence;Prompt and model evaluations;Failure evidence;Provenance;Checklist",,.github/pull_request_template.md,Current documentation reviewed against connected implementation where applicable.
.github/workflows/ci.yml,.yml,5141,configuration,configuration,analyzed,name;on;permissions;concurrency;jobs,,.github/workflows/ci.yml,"Analyzed for architectural responsibility, dependencies, inputs, outputs, and effects."
.github/workflows/codeql.yml,.yml,2011,configuration,configuration,analyzed,name;on;permissions;concurrency;jobs,,.github/workflows/codeql.yml,"Analyzed for architectural responsibility, dependencies, inputs, outputs, and effects."
